gene	exp_rep3.exon	exp_rep2.exon	control_rep2.exon	exp_rep1.exon	control_rep1.exon	control_rep3.exon
ENSG00000229393.1	0	3	0	0	0	0
ENSG00000157881.16	1638	1496	1373	1523	1487	2017
ENSG00000197921.6	2	2	0	0	1	1
ENSG00000272449.3	32	23	16	20	22	37
ENSG00000238164.6	0	1	1	0	0	4
ENSG00000157873.18	37	33	23	35	31	44
ENSG00000225931.3	3	10	7	7	4	7
ENSG00000228037.1	3	8	3	6	1	6
ENSG00000289610.2	2	3	0	2	0	1
ENSG00000157870.17	3607	3043	2632	2975	2861	3482
ENSG00000142606.16	0	0	0	0	0	0
ENSG00000237058.1	0	0	0	0	0	0
ENSG00000215912.13	0	0	0	0	0	0
ENSG00000285945.1	0	0	0	0	0	0
ENSG00000283259.1	0	0	0	0	0	0
ENSG00000233234.1	0	0	0	0	0	0
ENSG00000287396.1	0	0	0	0	0	0
ENSG00000231630.1	0	0	0	0	0	0
ENSG00000284745.1	0	0	0	0	0	0
ENSG00000169717.7	0	0	4	1	1	2
ENSG00000177133.14	811	648	647	582	652	893
ENSG00000142611.17	3145	3192	3170	3087	3436	4228
ENSG00000283572.1	0	1	0	0	0	0
ENSG00000226286.1	4	7	6	4	0	2
ENSG00000279839.1	2	2	0	1	3	1
ENSG00000272235.1	16	13	13	7	8	18
ENSG00000287828.1	27	15	14	15	26	20
ENSG00000286518.1	7	0	4	6	6	8
ENSG00000130762.15	2446	2474	1946	2414	2146	2692
ENSG00000272088.1	10	6	5	5	5	3
ENSG00000162591.17	6371	5000	4525	5093	4538	5885
ENSG00000207776.1	0	1	0	0	0	0
ENSG00000238260.3	10	10	2	14	8	7
ENSG00000158109.15	6878	6516	5709	6349	6233	7707
ENSG00000116213.16	1619	1654	1106	1434	1303	1530
ENSG00000078900.16	102	114	78	93	102	112
ENSG00000227589.1	1	1	5	0	3	2
ENSG00000235131.1	0	0	0	0	0	0
ENSG00000293478.1	1635	1671	1270	1504	1641	1822
ENSG00000276189.1	0	0	0	0	0	0
ENSG00000227372.13	0	0	0	0	0	0
ENSG00000162592.10	10	9	8	10	10	15
ENSG00000235169.11	159	91	104	120	105	168
ENSG00000130764.10	5664	5303	4288	4889	4914	6074
ENSG00000266075.2	4	5	1	5	1	5
ENSG00000272153.1	24	28	21	23	18	26
ENSG00000116198.14	2719	3041	2534	3001	2770	3364
ENSG00000169598.17	976	1048	834	999	886	1070
ENSG00000198912.12	1846	1941	1322	1717	1626	2040
